<OPEN>17/09;<HIGH>17/09;<LOW>17/09;<CLOSE>17/09;<OPEN> 17/11;<HIGH> 17/11;<LOW> 17/11;<CLOSE> 17/11;<OPEN> 15/12;<HIGH>15/12;<LOW> 15/12;<CLOSE> 15/12;<OPEN> 17/12;<HIGH> 17/12;<LOW> 17/12;<CLOSE> 17/12
108040;108130;108040;108130;115970;116020;115950;115970;112940;112970;112880;112900;112080;112120;112080;112080
108150;108150;108110;108110;115970;115990;115960;115970;112910;112910;112860;112880;112080;112120;112080;112110
108110;108160;108110;108110;115980;115980;115920;115960;112890;112910;112840;112880;112110;112150;112080;112090
108130;108140;108090;108090;115960;116040;115950;116020;112880;112890;112800;112810;112100;112130;112070;112120
108100;108130;108090;108090;116010;116040;115970;116020;112820;112840;112790;112820;112120;112120;112090;112110
108100;108100;108080;108080;116010;116070;116000;116050;112820;112850;112790;112850;112110;112120;112100;112110
108050;108060;108050;108050;116060;116100;116050;116080;112840;112840;112780;112800;112110;112110;112020;112040
108090;108100;108090;108100;116070;116100;116050;116060;112810;112920;112800;112890;112060;112060;112020;112050
108100;108110;108090;108090;116060;116070;116010;116050;112890;112940;112880;112900;112050;112070;112040;112070
108060;108060;108060;108060;116030;116050;116000;116040;112910;112950;112870;112950;112060;112060;112030;112040
108030;108030;108000;108030;116020;116090;116020;116040;112940;112950;112910;112930;112050;112050;112020;112020
108030;108050;108030;108040;116060;116060;116030;116050;112940;113020;112940;112980;112030;112040;112010;112020
108040;108050;108040;108050;116050;116070;116000;116000;112960;113040;112960;113000;112020;112070;112010;112060
108060;108070;108060;108060;115990;116000;115910;115930;113010;113040;112920;112920;112060;112060;112020;112060
108050;108050;108050;108050;115940;115950;115900;115910;112930;113010;112920;113000;112060;112070;112040;112050
108040;108050;108030;108040;115910;115930;115880;115900;113000;113030;112950;112970;112040;112080;112040;112080
108060;108060;108060;108060;115900;115980;115880;115980;112980;113000;112940;112960;112080;112100;112060;112060
108070;108080;108040;108050;115970;116050;115950;116020;112970;113010;112950;113010;112050;112080;112050;112060
108090;108090;108090;108090;116010;116010;115950;115950;113010;113010;112990;113010;112050;112070;112020;112030
108080;108110;108080;108110;115960;116000;115940;116000;113000;113050;113000;113030;112030;112040;111940;111960
108120;108120;108120;108120;115990;116050;115990;116020;113030;113090;113030;113050;111960;111990;111940;111980
108110;108110;108090;108090;116030;116040;115990;116010;113050;113070;113050;113060;111970;112000;111970;111990
108080;108080;108080;108080;116010;116030;115950;115950;113070;113100;113030;113040;111990;112010;111980;111990
108060;108060;108060;108060;115950;115970;115890;115930;113050;113070;113020;113020;112000;112030;111980;112020
108050;108070;108050;108070;115940;116020;115930;116010;113020;113030;112950;112950;112010;112010;111980;111980
108060;108150;108060;108120;116010;116030;115940;115960;112960;113120;112950;113120;111980;111990;111950;111960
108140;108140;108110;108120;115970;115990;115900;115970;113130;113140;113050;113100;111960;111960;111910;111950
108090;108090;108050;108050;115970;116000;115920;115920;113100;113110;113070;113090;111950;111990;111940;111970
108060;108060;108060;108060;115940;116020;115920;116000;113080;113100;113060;113070;111980;111990;111950;111960
108110;108110;108080;108080;116000;116020;115970;116010;113070;113140;113070;113090;111950;111960;111920;111940
108060;108060;108060;108060;116010;116030;115980;115990;113080;113100;113050;113070;111940;112000;111930;111990
108060;108120;108060;108120;116000;116020;115970;115970;113050;113060;113020;113060;111990;111990;111910;111910
108120;108140;108110;108140;115970;115980;115820;115890;113050;113060;113020;113020;111920;112000;111910;111990
108120;108120;108100;108100;115880;115910;115870;115910;113030;113080;113020;113050;111990;112010;111950;111960
108110;108110;108100;108100;115910;115910;115890;115900;113050;113060;112990;113000;111960;111990;111950;111970
